Gene_ID,Brain,Spinal,Kidney,Heart,Sk_muscle,Main_EO,Sach_EO,Hunter_EO
scaffold3168.g10,481.9,989.4,2067.6,694.8,1128.1,1148.7,974.5,1060.3
scaffold3168.g11,104.2,87.1,66,43.8,31.3,45.7,42,35.7
scaffold3168.g12,3486.7,2433.6,12.5,48.3,2.4,15.4,45.2,10.1
scaffold3168.g13,1948.9,720.7,0,23.7,0,0.5,3.9,2.6
scaffold3168.g14,172.6,195.8,361.6,562.1,138,451.9,334.6,255.2
scaffold3168.g15,1131.6,411.8,72.4,1016.3,433.3,308.7,272.3,286.1
scaffold3168.g16,187.2,224.7,55.4,200.8,93.2,480.4,321.5,339.8
scaffold3168.g2,791.9,1055.1,673.6,877.5,686.2,1000.4,776.7,771.7
scaffold3168.g3,66.3,19.4,0,9.2,6528.2,3544.5,1326.9,1126.4
scaffold3168.g4,471.1,212.4,93.3,135.9,440.2,302.3,290.1,140.8
scaffold3168.g5,385,301.9,161.4,419.9,327.9,2363,1123.6,800.9
scaffold3168.g6,449.9,206.1,276.2,195.4,282.5,573.2,349.7,406.4
scaffold3168.g7,195.3,97.5,75.7,83.7,91.3,158,89.6,93
scaffold3168.g8,446.7,454.6,1168.4,1365.1,6271.6,5928.6,4437.7,3035.9
scaffold3168.g9,245.4,375.7,358.4,199.4,124.4,268.9,278.2,312.5
scaffold317.g1,1218,773.4,812.5,1856.1,2774.1,3134.2,3200.5,3979.5
scaffold317.g2,128.8,23.1,7.7,2.4,30.7,54.8,39.9,38
scaffold3173.g1,434.6,847.3,357.2,1739.5,686.8,717.2,847.4,1098.6
scaffold3175.g1,1292.7,2599,1942.7,883.1,2578.8,1450.2,1028.1,1310.5
scaffold3175.g2,234.2,63,11.8,0,0,0,0,0
scaffold3178.g1,193.3,131.9,74.4,2.9,2.4,3.4,3.7,4.1
scaffold3183.g1,107.5,33.4,0,14.3,459.4,440.7,687.9,516.1
scaffold3188.g1,1275.7,1984.3,3157,2135.6,3493.1,1299.7,1222.3,1360.1
scaffold3188.g2,1.5,6.8,210,10.5,40.8,22.4,12,26.1
scaffold3188.g3,647,268.2,316.9,625.5,983,665.4,941.7,1189.7
scaffold3188.g4,354,157.1,119,310.5,436.9,269.8,483.3,543.4
scaffold3188.g5,1457,5060.6,1042.4,368.6,490.5,644.6,642.7,683.6
scaffold3188.g6,58.4,63.5,4.1,1076.2,8880.8,18219.5,11902,11154.8
scaffold3188.g7,0,0,13.5,0,0,0,1.8,0
scaffold3188.g8,99.2,50.4,0,0.2,0,0.2,0,0
scaffold319.g1,472.4,129.7,95.2,484.2,95.8,19.7,42.1,44.6
scaffold319.g10,878.9,880.8,2114.9,738,4083.9,1036.6,1252.4,1319.7
scaffold319.g11,29.3,9.9,65.9,114.7,70.4,59,82,126.6
scaffold319.g12,28.7,65.1,56.4,283.5,233.3,155.6,167.6,186.3
scaffold319.g13,2283.2,3208.8,2003.9,2331.9,3511.3,1814.7,2012.4,2153.2
scaffold319.g14,202.1,142.6,202.6,82.2,228,207.6,182.8,191.5
scaffold319.g15,1476,1822.4,10545.5,1259.3,1234.4,1414.1,1116.4,1532
scaffold319.g16,101.7,59.5,88.9,7.6,26.9,17.5,15,16.2
scaffold319.g17,51.1,50.6,149.6,280.7,1372.9,8878,7835.8,9634.9
scaffold319.g18,2.4,0,0,0,0,0,0,0
scaffold319.g19,394.7,523.3,425.9,285.3,623.4,348,328.1,440.3
scaffold319.g2,3.9,12,158.7,0,0,0,0,0
scaffold319.g3,92.3,184.1,165.7,1.3,5.5,1.3,0,12.4
